Course Area,Full-time employment 2023,Full-time employment 2024
Agriculture and environmental studies,68.2,50
Architecture and built environment,45.8,40.9
Business and management,59.2,51.6
Communications,47.4,32.2
Computing and information systems,52.1,43.5
Creative arts,48.3,37.8
Dentistry,89.7,93.3
Engineering,59.8,55.9
Health services and support,56.9,52
"Humanities, culture and social sciences",52.3,40.3
Law and paralegal studies,60.7,48
Medicine,92.3,88.7
Nursing,72.6,67.7
Pharmacy,83.8,90.8
Psychology,44.7,40.9
Rehabilitation,76.8,79.7
Science and mathematics,54.7,41.8
Social work,59.4,54.3
Teacher education,84.8,80.9
"Tourism, hospitality, personal services, sport and recreational",71.1,68.5
Veterinary science,79.2,81.4
